household_id,person_weight,log_salary,any_home_internet,digital_access_score,education_band,matric_plus,age_centred,age_centred_squared,female,population_group,province,settlement_type
166101910000007901,1702.08827263,8.699514748210191,1,4,Matric,1,5,25,1,Coloured,Western Cape,Non-metro urban
166101910000011401,855.97778966,8.847647355711887,1,2,Some secondary,0,14,196,0,Coloured,Western Cape,Non-metro urban
166101910000021901,1053.45139579,9.156412029950626,1,4,Post-school certificate/diploma,1,-5,25,1,Coloured,Western Cape,Non-metro urban
166101910000021902,1639.69827306,9.156412029950626,1,4,Matric,1,-3,9,1,Coloured,Western Cape,Non-metro urban
166101910000021902,1639.69827306,9.156412029950626,1,4,Matric,1,4,16,0,Coloured,Western Cape,Non-metro urban
166101910000028901,1177.92897037,8.411832675758411,1,3,Matric,1,-17,289,0,Coloured,Western Cape,Non-metro urban
166101930000002101,1062.39316429,9.546812608597396,1,2,Matric,1,-7,49,1,Coloured,Western Cape,Non-metro urban
166101930000024901,1399.59905083,8.411832675758411,1,2,Some secondary,0,1,1,1,Coloured,Western Cape,Non-metro urban
166101930000024901,1399.59905083,8.411832675758411,1,2,Matric,1,-20,400,0,Coloured,Western Cape,Non-metro urban
166101930000032501,795.102495213,7.937374696163295,1,2,Matric,1,-10,100,1,Coloured,Western Cape,Non-metro urban
