household_id,person_weight,employed,age_centred,age_centred_squared,female,population_group,province,settlement_type,education_band,matric_plus,has_fixed_internet,has_mobile_internet,has_computer,any_home_internet,digital_access_score,smartphone_access,edu_digital_group,household_size,n_children_under15,elderly_in_household,dependency_ratio,female_x_children,other_member_matric
163101070000003301,1823.00134694,Employed,11,121,0,White,Western Cape,Non-metro urban,Some secondary,0,0,1,0,1,2,1 or more per member,"Below matric, internet",6,1,1,0.5,0,Yes
163101070000003301,1823.00134694,Employed,9,81,0,White,Western Cape,Non-metro urban,Some secondary,0,0,1,0,1,2,1 or more per member,"Below matric, internet",6,1,1,0.5,0,Yes
163101070000003301,1823.00134694,Employed,-1,1,1,White,Western Cape,Non-metro urban,Matric,1,0,1,0,1,2,1 or more per member,"Matric+, internet",6,1,1,0.5,1,No
163101070000005401,1085.56184964,Employed,-6,36,1,White,Western Cape,Non-metro urban,Degree,1,0,1,1,1,3,1 or more per member,"Matric+, internet",2,0,0,0,0,No
163101070000005401,1085.56184964,Employed,-5,25,0,White,Western Cape,Non-metro urban,Some secondary,0,0,1,1,1,3,1 or more per member,"Below matric, internet",2,0,0,0,0,Yes
163101070000011701,1218.72950732,Employed,-2,4,0,White,Western Cape,Non-metro urban,Matric,1,1,1,1,1,4,Fewer than 1 per member,"Matric+, internet",4,2,0,1,0,Yes
163101070000011701,1218.72950732,Employed,-7,49,1,White,Western Cape,Non-metro urban,Matric,1,1,1,1,1,4,Fewer than 1 per member,"Matric+, internet",4,2,0,1,2,Yes
163101550000002501,1681.58303905,Employed,1,1,0,Black African,Western Cape,Non-metro urban,Some secondary,0,0,1,0,1,2,Fewer than 1 per member,"Below matric, internet",5,1,0,0.25,0,Yes
163101550000002501,1681.58303905,Unemployed,0,0,1,Black African,Western Cape,Non-metro urban,Matric,1,0,1,0,1,2,Fewer than 1 per member,"Matric+, internet",5,1,0,0.25,1,Yes
163101550000002501,1681.58303905,Employed,-16,256,1,Black African,Western Cape,Non-metro urban,Matric,1,0,1,0,1,2,Fewer than 1 per member,"Matric+, internet",5,1,0,0.25,1,Yes
